scenario,month,normalized_shock
shock_1m,1,1
shock_1m,2,0
shock_1m,3,0
shock_1m,4,0
shock_1m,5,0
shock_1m,6,0
shock_1m,7,0
shock_1m,8,0
shock_1m,9,0
shock_1m,10,0
shock_1m,11,0
shock_1m,12,0
shock_1m,13,0
shock_1m,14,0
shock_1m,15,0
shock_1m,16,0
shock_1m,17,0
shock_1m,18,0
shock_1m,19,0
shock_1m,20,0
shock_1m,21,0
shock_1m,22,0
shock_1m,23,0
shock_1m,24,0
shock_3m,1,1
shock_3m,2,1
shock_3m,3,1
shock_3m,4,0
shock_3m,5,0
shock_3m,6,0
shock_3m,7,0
shock_3m,8,0
shock_3m,9,0
shock_3m,10,0
shock_3m,11,0
shock_3m,12,0
shock_3m,13,0
shock_3m,14,0
shock_3m,15,0
shock_3m,16,0
shock_3m,17,0
shock_3m,18,0
shock_3m,19,0
shock_3m,20,0
shock_3m,21,0
shock_3m,22,0
shock_3m,23,0
shock_3m,24,0
shock_6m,1,1
shock_6m,2,1
shock_6m,3,1
shock_6m,4,1
shock_6m,5,1
shock_6m,6,1
shock_6m,7,0
shock_6m,8,0
shock_6m,9,0
shock_6m,10,0
shock_6m,11,0
shock_6m,12,0
shock_6m,13,0
shock_6m,14,0
shock_6m,15,0
shock_6m,16,0
shock_6m,17,0
shock_6m,18,0
shock_6m,19,0
shock_6m,20,0
shock_6m,21,0
shock_6m,22,0
shock_6m,23,0
shock_6m,24,0
shock_perm,1,1
shock_perm,2,1
shock_perm,3,1
shock_perm,4,1
shock_perm,5,1
shock_perm,6,1
shock_perm,7,1
shock_perm,8,1
shock_perm,9,1
shock_perm,10,1
shock_perm,11,1
shock_perm,12,1
shock_perm,13,1
shock_perm,14,1
shock_perm,15,1
shock_perm,16,1
shock_perm,17,1
shock_perm,18,1
shock_perm,19,1
shock_perm,20,1
shock_perm,21,1
shock_perm,22,1
shock_perm,23,1
shock_perm,24,1
